Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Break_Out_Category,Break_Out,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_limit_Low,Confidence_limit_High,CategoryId,TopicId,IndicatorID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Aspirin use,Prevalence of aspirin use for secondary prevention of ischemic vascular disease among US adults (40+) (Percentage); NHANES,Age,45-64,Percentage,%,72.3,,,55.9,84.3,C2,T8,NH010,BOC03,AGE05,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Aspirin use,Prevalence of aspirin use for secondary prevention of ischemic vascular disease among US adults (40+) (Percentage); NHANES,Age,65+,Percentage,%,88.3,,,81.4,92.8,C2,T8,NH010,BOC03,AGE06,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Aspirin use,Prevalence of aspirin use for secondary prevention of ischemic vascular disease among US adults (40+) (Percentage); NHANES,Age,75+,Percentage,%,87.8,,,81.2,92.4,C2,T8,NH010,BOC03,AGE08,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Aspirin use,Prevalence of aspirin use for secondary prevention of ischemic vascular disease among US adults (40+) (Percentage); NHANES,Gender,Male,Percentage,%,76.9,,,57.7,89,C2,T8,NH010,BOC02,GEN01,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Aspirin use,Prevalence of aspirin use for secondary prevention of ischemic vascular disease among US adults (40+) (Percentage); NHANES,Gender,Female,Percentage,%,73.8,,,61.2,83.4,C2,T8,NH010,BOC02,GEN02,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Aspirin use,Prevalence of aspirin use for secondary prevention of ischemic vascular disease among US adults (40+) (Percentage); NHANES,Overall,Overall,Percentage,%,75.7,,,62.5,85.3,C2,T8,NH010,BOC01,OVR01,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Aspirin use,Prevalence of aspirin use for secondary prevention of ischemic vascular disease among US adults (40+) (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,78.3,,,56.9,90.8,C2,T8,NH010,BOC04,RAC01,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Aspirin use,Prevalence of aspirin use for secondary prevention of ischemic vascular disease among US adults (40+) (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,67.9,,,56.1,77.8,C2,T8,NH010,BOC04,RAC02,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Aspirin use,Prevalence of aspirin use for secondary prevention of ischemic vascular disease among US adults (40+) (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,71.4,,,29.8,93.6,C2,T8,NH010,BOC04,RAC03,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Aspirin use,Prevalence of aspirin use for secondary prevention of ischemic vascular disease among US adults (40+) (Percentage); NHANES,Race,Hispanic,Percentage,%,54.8,,,38.6,70.1,C2,T8,NH010,BOC04,RAC04,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Aspirin use,Prevalence of aspirin use for secondary prevention of ischemic vascular disease among US adults (40+) (Percentage); NHANES,Race,Other,Percentage,%,85.7,,,58,96.3,C2,T8,NH010,BOC04,RAC07,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,C2,T9,NH020,BOC03,AGE01,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,25-44,Percentage,%,12.2,,,9.3,15.9,C2,T9,NH020,BOC03,AGE04,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,45-64,Percentage,%,37.9,,,33.7,42.4,C2,T9,NH020,BOC03,AGE05,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,65+,Percentage,%,70.2,,,66.3,73.8,C2,T9,NH020,BOC03,AGE06,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,35+,Percentage,%,38.2,,,34.7,41.9,C2,T9,NH020,BOC03,AGE07,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,75+,Percentage,%,77.6,,,73.4,81.4,C2,T9,NH020,BOC03,AGE08,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Gender,Male,Percentage,%,29.3,,,25.3,33.5,C2,T9,NH020,BOC02,GEN01,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Gender,Female,Percentage,%,30,,,27.7,32.5,C2,T9,NH020,BOC02,GEN02,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Overall,Overall,Percentage,%,29.9,,,27.1,32.8,C2,T9,NH020,BOC01,OVR01,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,28.3,,,24.9,32,C2,T9,NH020,BOC04,RAC01,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,40.5,,,38.4,42.6,C2,T9,NH020,BOC04,RAC02,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,,-,Data not available,,,C2,T9,NH020,BOC04,RAC03,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Hispanic,Percentage,%,28.5,,,25.9,31.2,C2,T9,NH020,BOC04,RAC04,00,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Other,Percentage,%,30.3,,,20,43.1,C2,T9,NH020,BOC04,RAC07,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,18-24,Percentage,%,3.3,,,2.1,5.1,C2,T9,NH020,BOC03,AGE01,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,25-44,Percentage,%,10.4,,,8.9,12.1,C2,T9,NH020,BOC03,AGE04,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,45-64,Percentage,%,37.6,,,33,42.5,C2,T9,NH020,BOC03,AGE05,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,65+,Percentage,%,70.6,,,67.8,73.3,C2,T9,NH020,BOC03,AGE06,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,35+,Percentage,%,37.8,,,34.6,41.1,C2,T9,NH020,BOC03,AGE07,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,75+,Percentage,%,75.8,,,72.9,78.5,C2,T9,NH020,BOC03,AGE08,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Gender,Male,Percentage,%,27.7,,,25.3,30.2,C2,T9,NH020,BOC02,GEN01,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Gender,Female,Percentage,%,30.7,,,29,32.4,C2,T9,NH020,BOC02,GEN02,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Overall,Overall,Percentage,%,29.4,,,27.7,31.2,C2,T9,NH020,BOC01,OVR01,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,28,,,26.1,30,C2,T9,NH020,BOC04,RAC01,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,42.6,,,39.4,45.7,C2,T9,NH020,BOC04,RAC02,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,,-,Data not available,,,C2,T9,NH020,BOC04,RAC03,00,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Hispanic,Percentage,%,23.9,,,22.1,25.9,C2,T9,NH020,BOC04,RAC04,00,
